manuscript_component,primary_code,standard_input,main_output,upstream_external_tools,notes
Genome sampling and quality control,R/01_sampling_qc.R,species_metadata.csv; genome_qc_metrics.csv,table_sampling_summary.csv; source_fig1_genome_qc.csv,BUSCO; seqkit; BEDtools,Retains 42 bivalves and separates Lottia outgroup from habitat comparisons.
Fsite screening,R/02_fsite_branch_parallel_ssls.R,extant_site_states.csv; ancestral_states.csv; species_metadata.csv,table_fsite_screen.csv,PAML codeml ancestral reconstruction,Requires at least two informative collapsed freshwater units plus seawater-group alternative-state support; records whether sites are strict derived recurrence or freshwater-associated recurrence.
Branch-site positive-selection signals,R/02_fsite_branch_parallel_ssls.R,branch_site_results.csv,table_branch_site_positive_selection_signals.csv,PAML codeml branch-site models,Reports conservative chi-square(1) and 50:50 mixture P values.
Candidate parallel-substitution signals,R/02_fsite_branch_parallel_ssls.R,parallel_substitution_results.csv; table_fsite_screen.csv,table_candidate_parallel_substitution_signals.csv,custom state parser from alignments,Applies lineage-level recurrence criterion.
SSLS topology support,R/02_fsite_branch_parallel_ssls.R,ssls_results.csv,source_fig2b_ssls.csv,RAxML -f G,Interpreted as topology-consistency statistic after candidate preselection.
Functional enrichment,R/03_enrichment.R,gene_pathway_annotations.csv; candidate gene tables,table_enrichment_candidate_parallel_substitution_genes.csv; table_enrichment_branch_site_positive_selection_signal_genes.csv,InterProScan; KEGG annotation,Hypergeometric test with BH-FDR.
Gene-family copy number,R/04_gene_family_copy_number.R,gene_family_copy_number.csv; species_tree.nwk; species_metadata.csv,table_gene_family_copy_number_associations.csv; source_fig3a_gene_family_heatmap.csv,OrthoMCL; domain annotation,Uses phytools phylANOVA with BH-FDR.
Genome architecture,R/05_genome_architecture_te.R,genome_architecture_traits.csv; species_tree.nwk,table_genome_architecture_associations.csv; source_fig4a_genome_architecture.csv,BEDtools; GFFread,Uses PGLS with Pagel lambda.
TE family profiles,R/05_genome_architecture_te.R,te_family_abundance.csv,source_fig4b_te_family_profiles.csv,RepeatModeler2; RepeatMasker,Summarizes row-scaled family abundance.
Local TE density,R/05_genome_architecture_te.R,local_te_density.csv,source_fig4c_local_te_density.csv,RepeatMasker; gene-coordinate parser,Normalizes by region length for ATG7 ATG18 and CNX regions.
Kimura divergence proxy,R/05_genome_architecture_te.R,te_kimura_bins.csv,source_fig4d_te_kimura_relative_age_proxy.csv,RepeatMasker; LTR_retriever,Uses Kimura divergence from consensus as a relative age proxy.
Amino-acid CLR composition,R/06_amino_acid_clr.R,amino_acid_counts.csv; species_tree.nwk,table_amino_acid_clr_associations.csv; source_fig5_amino_acid_clr_long.csv,InterProScan; TMHMM; SignalP,CLR transformation and PGLS with BH-FDR within protein sets.
Salinity-transfer assays,R/07_salinity_autophagy.R,salinity_assay_measurements.csv,table_salinity_assay_summary.csv; table_salinity_assay_tests.csv; table_salinity_assay_pairwise_tests.csv,qPCR; western blot; flow cytometry; FAA assay,Kruskal-Wallis and pairwise Wilcoxon summaries by treatment for experimental panels.
Public transcriptome,R/07_salinity_autophagy.R,public_transcriptome_expression.csv; public_transcriptome_deseq2.csv,source_fig6f_public_transcriptome_heatmap.csv; table_public_transcriptome_low_salinity_delta.csv,fastp; HISAT2/STAR; featureCounts; DESeq2,Summarizes normal/high-salinity versus low-salinity treatment classes.
ATG7 structure and FoldX,R/08_structure_foldx.R,atg7_foldx_results.csv,table_atg7_foldx_ddg_summary.csv,ColabFold; FoldX,Summarizes repeated FoldX BuildModel runs.
Source Data index,R/09_source_data_index.R,all generated output tables,source_data_index.csv,not applicable,Indexes figure source-data and analysis tables.
